"이런 예능재미있음.","이런/MDT|예능/NNG|재미/NNG|있음/NNG|./SF"
"와파켜도 안뜨고 데이터 켜도 안뜨는데 왜안되는건가요?","오/VV|아/ECS|파/VV|아/ECS|켜/NNG|도/JX|안/MAG|뜨/VV|고/ECE|데이터/NNG|키/VV|어도/ECD|안/MAG|뜨/VV|는데/ECD|왜/MAG|안/MAG|되/VV|는/ETD|것/NNB|이/VCP|ㄴ가요/EFQ|?/SF"
"무한 로딩좀 해결해주세요 아니 무슨 뭘할수가없는데 무슨 앱평가입니까.","무한/NNG|로딩/NNG|좀/MAG|해결/NNG|하/XSV|어/ECS|주세/NNG|요/JX|아니/IC|무슨/MDT|무엇/NNG|을/JKO|하/VV|ㄹ/ETD|수/NNB|가/JKS|없/VA|는데/ECD|무슨/MDT|앱/NNG|평가/NNG|이/VCP|ㅂ니까/EFQ|./SF"
"별한개도 아깝다 이새끼들 먹튀하고 앱 오류로 영상 못보게 하는 클라스 환불도 못하게하네.","별/NNG|하/XSV|ㄴ/ETD|개/NNG|도/JX|아깝/VA|다/ECS|이새/NNG|끼들/MAG|먹/NNG|튀하/VV|고/ECE|앱/NNG|오류/NNG|로/JKM|영상/NNG|못/MAG|보/VV|게/ECD|하/VV|는/ETD|크/VA|ㄹ/ETD|라스/UN|환불/NNG|도/JX|못하/VX|게/ECD|하/VV|네/EFN|./SF"
"미국 콘텐츠 좋아하면 추천.","미국/NNG|콘텐츠/NNG|좋/VV|면/ECE|추천/NNG|./SF"
"툭하면 무한 로딩 스트리밍 영상 재생안됨 저장 콘텐츠 재생안됨 왜 만든거지? 분명 TV나 PC로 이용하는 유저들도 많긴 하겟지만 태블릿이나 스마트폰으로 이용 하는 유저들도 상당할텐데 이따위로 운영할바엔 그냥 어플서비스 종료하는게 좋을듯.","툭하면/MAG|무한/NNG|로딩/NNG|스트리밍/NNG|영상/NNG|재생/NNG|안/MAG|되/VV|저장/NNG|콘텐츠/NNG|재생/NNG|안/MAG|되/VV|왜/MAG|만들/VV|ㄴ/ETD|거지/NNG|?/SF|분/NR|명/NNM|TV/OL|나/NP|PC/OL|로/JKM|이용/NNG|하/XSV|는/ETD|유저/NNG|들/XSN|도/JX|많/VA|기/ETN|는/JKS|하/VV|겠/EPT|지만/ECE|태블릿/NNG|이나/JC|스마트/NNP|스마트폰/NNG|으로/JKM|이용/NNG|하/VV|는/ETD|유저/NNG|들/XSN|도/JX|상당/NNG|하/XSV|ㄹ/ETD|터/NNB|이/VCP|ㄴ데/ECE|이/MDT|따위/NNB|로/JKM|운영/NNG|하/XSV|ㄹ/ETD|바/NNB|에/JKM|는/JX|그냥/MAG|앱/NNG|서비스/NNG|종료/NNG|하/XSV|는/ETD|것/NNB|이/JKS|좋/VA|을/ETD|듯/NNB|./SF"
"동그라미만 종일 돌아가네요.","동그라미/NNG|만/JX|종일/NNG|돌아가/VV|네요/EFN|./SF"
"하이호 일곱난쟁이 내주세요 만약 IF 내주지 안으면 이 앱은 정말 나빠요 친구들한테 소문낼거에요.","하이/NNG|호/NNG|일곱/NR|난쟁이/NNG|내주/VV|세요/EFN|만약/NNG|IF/OL|내주/VV|지/ECD|안/VV|으면/ECD|이/MDT|앱/NNG|은/JX|정말/MAG|나쁘/VA|아요/EFN|친구/NNG|들/XSN|한테/JKO|소문내/VV|ㄹ/ETD|거/NNB|에/JKM|요/JX|./SF"
"1개도 아깝다 거지같네.","1/NR|개/NNM|도/JX|아깝/VA|다/ECS|거지/NNG|같/VA|네/EFN|./SF"
"앱 실행이 안되네요. 몇달전까지 잘썼는데 이번에 다시 깔아 켜보니 첫화면에서 넘어가질 못하네요.갤럭시 노트9 입니다.","앱/NNG|실행/NNG|이/JKS|안/MAG|되/VV|네요/EFN|./SF|몇/MDT|달/NNG|전/NNG|까지/JX|잘/MAG|쓰/VV|었/EPT|는데/ECD|이번/NNG|에/JKM|다시/MAG|깔/VV|아/ECD|키/VV|어/ECS|보/VV|니/ECD|첫/MDT|화면/NNG|에서/JKM|넘/VV|지/ECS|를/JX|못하/VX|네요/EFN|./SF|갤럭시/NNG|노트/NNG|9/NR|이/VCP|ㅂ니다/EFN|./SF"
"스파이더맨 한국어 자막좀.","스파이/NNG|더/MAG|매/VV|ㄴ/ETD|한국어/NNG|자막/NNG|좀/MAG|./SF"
"자막 싱크 관리 안하나요?","자막/NNG|싱크/NNG|관리/NNG|안/MAG|하/VV|나요/EFQ|?/SF"
"UTV 로딩에 튕기고 접속안되고 운영 개판이네.","UTV/OL|로딩/NNG|에/JKM|튕기/VV|고/ECE|접속/NNG|안/MAG|되/XSV|고/ECE|운영/NNG|개판/NNG|이/VCP|네/EFN|./SF"
"자막이 보기 싫어서 더빙으로 듣고 있는데 소리가 작은건지 사람 말을 못알아듣겠고 이게 4K로 보고 있는지 HD로 보고 있는지 명확하지도 않고 2500원이라서 참고 쓰지 정기결제는 취소함. 한달만에 볼거다보면 삭제하면 될 OTT.","자막/NNG|이/JKS|보/VV|기/ETN|싫/VA|어서/ECD|더빙/NNG|으로/JKM|듣/VV|고/ECE|있/VXV|는데/ECD|소리/NNG|가/JKS|작/VA|은/ETD|것/NNB|이/VCP|ㄴ지/ECS|사람/NNG|말/NNG|을/JKO|못/MAG|알아듣/VV|겠/EPT|고/ECE|이것/NP|이/JKS|화질/NNG|로/JKM|보/VV|고/ECE|있/VXV|는지/ECS|화질/NNG|로/JKM|보/VV|고/ECE|있/VXV|는지/ECS|명확/XR|하/XSA|지/ECD|도/JX|안/MAG|고/ECE|2500/NR|원/NNM|이/VCP|라서/ECD|참/VV|고/ECE|쓰/VV|지/ECD|정기/NNG|결제/NNG|는/JX|취소/NNG|하/XSV|ㅁ/ETN|./SF|한/MDN|달/NNG|만/NNB|에/JKM|보/VV|ㄹ/ETD|거/NNB|이/VCP|다/EFN|보/VV|면/ECE|삭제/NNG|하/XSV|면/ECE|되/VV|ㄹ/ETD|OTT/OL|./SF"
"결제 후 무한 로딩이라 앱이 열리지도 않아서 뭘 보라는지 모르겠음. 연휴라 결제했는데 문제 해결 후 다시는 사용 안 할 예정.","결제/NNG|후/NNG|무한/NNG|로딩/NNG|이라/JX|앱/NNG|이/JKS|열/VV|지/ECD|도/JX|안/MAG|아서/ECD|무엇/NNG|을/JKO|보/VV|라는/ETD|지/NNB|모르/VV|겠/EPT|음/ETN|./SF|연휴/NNG|라/NNG|결제/NNG|하/XSV|었/EPT|는데/ECD|문제/NNG|해결/NNG|후/NNG|다시/MAG|는/JX|사용/NNG|안/MAG|하/VV|ㄹ/ETD|예정/NNG|./SF"
"인터페이스가 구림. 작품들은 좋음.","인터페이스/NNG|가/JKS|구림/NNG|./SF|작품/NNG|들/XSN|은/JX|좋/VA|음/ETN|./SF"
"앱에 들어가지지가 않네요.","앱/NNG|에/JKM|들어가/VV|지/ECD|지가/NNG|안/MAG|네요/EFN|./SF"
"왜 자꾸 무한 로딩만 되는거죠? 좀 고쳐주시세요.","왜/MAG|자꾸/MAG|무한/NNG|로딩/NNG|만/JX|되/VV|는/ETD|것/NNB|이/VCP|죠/EFN|?/SF|좀/MAG|고치/VV|어/ECS|주시/NNG|세요/NNP|./SF"
"왜 애니메이션 한국어 자막이 없죠.? 시즌2만 있는것도 있고. 디플 한국쪽에 신경을 잘 안 쓰시는듯.","왜/MAG|애니메이션/NNG|한국어/NNG|자막/NNG|이/JKS|없/VA|죠/EFN|./SF|?/SF|시즌/NNG|2/NR|만/JX|있/VV|는/ETD|것/NNB|도/JX|있/VV|고/ECE|./SF|디즈니플러스/NNG|한국/NNG|쪽/NNB|에/JKM|신경/NNG|을/JKO|잘/MAG|안/MAG|쓰/VV|시/EPH|는/ETD|듯/NNB|./SF"
"아 짜증 .앱이 열려야 뭛보든지하지.","아/VV|아/ECS|짜증/NNG|./SF|앱/NNG|이/JKS|열/VV|어야/ECD|뭛/UN|보/VV|든지/ECE|하/VV|지/ECD|./SF"
"5번 이상을 지웠다 깔고 휴대폰도 껐다 키고 캐시 삭제랑 할 수 있는건 다 했는데 왜 로딩 화면만 계속 나오는 거죠? 인터넷으로 들어가서 결제까지 했는데 결제는 해놓고 앱에 안들어가면 영상은 못본다고 해서 결제만하고 아무것도 못하네요.","5/NR|번/NNM|이상/NNG|을/JKO|지우/VV|었/EPT|다/ECS|깔/VV|고/ECE|스마트폰/NNG|도/JX|끄/VV|었/EPT|다/ECS|키/VV|고/ECE|캐시/NNG|삭제/NNG|랑/JC|하/VV|ㄹ/ETD|수/NNB|있/VV|는/ETD|것/NNB|은/JKS|다/MAG|하/VV|었/EPT|는데/ECD|외/VV|어/ECS|로딩/NNG|화면/NNG|만/JX|계속/MAG|나오/VV|는/ETD|것/NNB|이/VCP|죠/EFN|?/SF|인터넷/NNG|으로/JKM|들어가/VV|서/ECD|결제/NNG|까지/JX|하/VV|었/EPT|는데/ECD|결제/NNG|는/JX|하/VV|어/ECS|놓/VXV|고/ECE|앱/NNG|에/JKM|안/MAG|들어가/VV|면/ECE|영상/NNG|은/JX|못/MAG|보/VV|ㄴ다고/ECE|하/VV|어서/ECD|결제/NNG|만하/XSA|고/ECE|아무것/NNG|도/JX|못하/VX|네요/EFN|./SF"
"음 이런 앱이 있었구나 햇어요. 잘 써 볼게요.","음/IC|이런/MDT|앱/NNG|이/JKS|있/VV|었/EPT|구나/EFI|하/VV|였/EPT|어요/EFN|./SF|잘/MAG|쓰/VV|어/ECS|보/VV|ㄹ게요/EFN|./SF"
"너무 재미있어요.","너무/MAG|재미/NNG|있/VV|어요/EFN|./SF"
"목록에서 삭제안되는게 불편함.","목록/NNG|에서/JKM|삭제/NNG|안/MAG|되/XSV|는/ETD|것/NNB|이/JKS|불편/NNG|하/XSV|ㅁ/ETN|./SF"
"영상 속도 조절하는 기능 넣어주세요.","영상/NNG|속도/NNG|조절/NNG|하/XSV|는/ETD|기능/NNG|넣/VV|어/ECD|주/VXV|세요/EFN|./SF"
"막 결제되고 로그인도힘들고 어렵게만들어놔서 손해봤어요 해지도 멤버쉽도 안뜨고 짜증납니다.","막/MAG|결제/NNG|되/XSV|고/ECE|로그인/NNG|도/JX|힘들/VA|고/ECE|어렵/VA|게/ECD|만들/VV|어/ECD|노/VV|아서/ECD|손해/NNG|보/VV|았/EPT|어요/EFN|하/VV|어/ECS|지도/NNG|멤버쉽/NNG|도/JX|안/MAG|뜨/VV|고/ECE|짜증/NNG|낳/VV|ㅂ니다/EFN|./SF"
"이용권을 해지하고 싶은데 해지가 안됩니다.","이용권/NNG|을/JKO|해지/NNG|하/XSV|고/ECE|싶/VXA|은데/ECD|해지/NNG|가/JKS|안/MAG|되/VV|ㅂ니다/EFN|./SF"
"디즈니는 없는 영화. 애니. 최신판 있는 듯 왜 올려서 가입 유도하냐고 . 화나서. 취소하고. 탈퇴도 완전 킹 받게 하네. 아. . 디즈.","디즈니/NNG|는/JX|없/VA|는/ETD|영화/NNG|./SF|애니메이션/NNG|./SF|최신/NNG|판/NNG|있/VV|는/ETD|듯/NNB|왜/MAG|오르/VV|어서/ECD|가입/NNG|유도/NNG|하/XSV|냐/EFQ|고/JKQ|./SF|화나/VV|서/ECD|./SF|취소/NNG|하/XSV|고/ECE|./SF|탈퇴/NNG|도/JX|완전/NNG|킹/NNG|받/VV|게/ECD|하/VV|네/EFN|./SF|아/VV|아/ECS|./SF|./SF|디/NNG|즈/UN|./SF"
"제발 배속좀.","제발/MAG|배속/NNG|좀/MAG|./SF"
"안됨 절대안됨.","안/MAG|되/VV|절대/NNG|안/MAG|되/VV|./SF"
"앱을 키면 로딩버퍼링 걸리면서 들어가지도 못하네요 결제한 돈이 아까워지게요 인터넷 보니 다시켰다키거나 와이파이로 바꾸거나 해보래서 모든 것을 해봐도 안되네요.","앱/NNG|을/JKO|키/VV|면/ECE|로딩/NNG|버퍼링/NNG|걸리/VV|면서/ECE|들어가/VV|지/ECD|도/JX|못하/VX|네요/EFN|결제/NNG|하/XSV|ㄴ/ETD|돈/NNG|이/JKS|아깝/VA|어/ECS|지게/NNG|요/JX|인터넷/NNG|보/VV|니/ECD|다/NNG|시키/XSV|었/EPT|다/ECS|키/VV|거나/ECE|와이파이/NNG|로/JKM|바꾸/VV|거나/ECE|해보래/UN|서/JKM|모든/MDT|것/NNB|을/JKO|해보/VV|아도/ECD|안/MAG|되/VV|네요/EFN|./SF"
"알라딘 을 언어 한국어 자막 한글 키고 보면 아주 가관입니다. 디즈니 가 인지도가 없는데는 다 이유가 있는듯.","알라딘/NNG|을/NNG|언어/NNG|한국어/NNG|자막/NNG|한글/NNG|키/VV|고/ECE|보/VV|면/ECE|아주/MAG|가관/NNG|이/VCP|ㅂ니다/EFN|./SF|디즈니/NNG|가/NNG|인지도/NNG|가/JKS|없/VA|는데/ECD|는/JX|다/MAG|이유/NNG|가/JKS|있/VV|는/ETD|듯/NNB|./SF"
"정말 최고입니다.","정말/MAG|최고/NNG|이/VCP|ㅂ니다/EFN|./SF"
"캐스트아이콘이 왜 뜨다가 안뜸.","캐스트/NNG|아이콘/NNG|이/JKS|왜/MAG|뜨/VV|다가/ECD|안/MAG|뜸/NNG|./SF"
"가족이 함께하기 좋은 컨텐츠가 많아요.","가족/NNG|이/JKS|함께/MAG|하/VV|기/ETN|좋/VA|은/ETD|컨텐츠/NNG|가/JKS|많/VA|아요/EFN|./SF"
"자막 번역 앱 인터페이스 아주 좋지않음.","자막/NNG|번역/NNG|앱/NNG|인터페이스/NNG|아주/MAG|좋/VA|지/ECD|안/MAG|음/ETN|./SF"
"무한 로딩 욕나옴.","무한/NNG|로딩/NNG|욕/NNG|나오/VV|ㅁ/ETN|./SF"
"티비로 쉐어링해서 보면 자막이 너무 작습니다.","티비/NNG|로/JKM|쉐/VV|어/ECD|링/NNG|하/XSV|어서/ECD|보/VV|면/ECE|자막/NNG|이/JKS|너무/MAG|작/VA|습니다/EFN|./SF"
"나온지 1년 넘었는데 배속기능전무 이상한 자막폰트등 문제 많음.","나오/VV|ㄴ/ETD|지/NNB|1/NR|년/NNM|넘/VV|었/EPT|는데/ECD|배/NNG|속/NNG|기능/NNG|전무/NNG|이상/NNG|하/XSV|ㄴ/ETD|자막/NNG|폰트/NNG|등/NNB|문제/NNG|많/VA|음/ETN|./SF"
"왜 앱이 열리지 않습니까?","왜/MAG|앱/NNG|이/JKS|열/VV|지/ECD|안/MAG|습니까/EFQ|?/SF"
"아주 좋다.","아주/MAG|좋/VA|다/EFN|./SF"
"디즈니 플러스 최고에요.","디즈니플러스/NNG|최고/NNG|에/JKM|요/JX|./SF"
"보는 내내 너무 행복했어요.","보/VV|는/ETD|내내/MAG|너무/MAG|행복/NNG|하/XSV|었/EPT|어요/EFN|./SF"
"전반적인 앱 UI 최악 메뉴 네비게이션 재생 환경설정 메뉴 실종 자막 설정 글꼴 배경 크기 그림자 등 없음. 한마디로 너무너무 불편하고 불친절함. 최소한의 다른 OTT앱들 벤치마킹도 안 하나. . .","전반적/NNG|이/VCP|ㄴ/ETD|앱/NNG|UI/OL|최악/NNG|메뉴/NNG|네비게이션/NNG|재생/NNG|환경/NNG|설정/NNG|메뉴/NNG|실종/NNG|자막/NNG|설정/NNG|글꼴/NNG|배경/NNG|크기/NNG|그림자/NNG|등/NNB|없/VA|음/ETN|./SF|한마디/NNG|로/JKM|너무너무/MAG|불편/NNG|하/XSV|고/ECE|불친절/NNG|하/XSV|ㅁ/ETN|./SF|최소한/NNG|의/JKG|다른/MDT|OTT/OL|앱/NNG|들/XSN|벤치마킹/NNG|도/JX|안/MAG|하나/NR|./SF|./SF|./SF"
"구독취소안하면 끊임없이 결제시도되고 계좌에 돈있으면 결제 바로됨 환불연락 바로연락하니까 추석전날이라고 보지도 않았는데 일할계산되어서 3200원 날라감 차감한 기간만큼 시청은 당연히 안되고 보실분들은 주의하세요 한순간에 소액결제 사기당한 느낌이네 시스템이 어이가 없네.","구독/NNG|취소/NNG|안/MAG|하/XSV|면/ECE|끊임없이/MAG|결제/NNG|시도/NNG|되/XSV|고/ECE|계좌/NNG|에/JKM|돈/NNG|있/VV|으면/ECD|결제/NNG|바로/MAG|되/VV|ㅁ/ETN|환불/NNG|연락/NNG|바로/MAG|연락/NNG|하/XSV|니까/ECD|추석/NNG|전날/NNG|이/VCP|라고/ECD|보/VV|지/ECD|도/JX|안/MAG|았/EPT|는데/ECD|일하/VV|ㄹ/ETD|계산/NNG|되/XSV|어서/ECD|3200/NR|원/NNM|날르/VV|아/ECS|감/NNG|차감/NNG|하/XSV|ㄴ/ETD|기간/NNG|만큼/NNG|시청/NNG|은/JX|당연히/MAG|안/MAG|되/VV|보시/VV|ㄹ/ETD|분/NNG|들/XSN|은/JX|주의/NNG|하세/NNG|요/JX|한순간/NNG|에/JKM|소액/NNG|결제/NNG|사기/NNG|당하/XSV|ㄴ/ETD|느낌/NNG|이/JKS|네/MDN|시스템/NNG|이/JKS|어이/NNG|가/JKS|없/VA|네/EFN|./SF"
"2500원 이라고 해놓고 9900원 결제 되었어요. 나머지 금액 환불해주세여.","2500/NR|원/NNM|이/VCP|라고/ECD|하/VV|어/ECS|놓/VXV|고/ECE|9900/NR|원/NNM|결제/NNG|되/VV|었/EPT|어요/EFN|./SF|나머지/NNG|금액/NNG|환불/NNG|하/XSV|어/ECS|주세/NNG|여/NNG|./SF"
"폴드3인데 실행 안됨 로딩만계속 그럼.","갤럭시폴드/NNG|3/NR|이/VCP|ㄴ데/ECE|실행/NNG|안/MAG|되/VV|로딩/NNG|만/JX|계속/MAG|그러/VV|ㅁ/ETN|./SF"
"재밌는거 많이 있나?","재미/NNG|있/VV|는/ETD|거/NNB|많이/MAG|있/VV|나/EFQ|?/SF"
"더빙말고 자막은 안되나요.?","더빙/NNG|말/VV|고/ECE|자막/NNG|은/JX|안/MAG|되/VV|나요/EFQ|./SF|?/SF"
"자막이 너무 작아요 자막글자크기조절만할수있다면 너무좋을것같아요.","자막/NNG|이/JKS|너무/MAG|작/VA|아요/EFN|자막/NNG|글자/NNG|크기/NNG|조절/NNG|만하/XSA|ㄹ/ETD|수/NNB|있/VA|다면/ECE|너무/MAG|좋/VA|을/ETD|것/NNB|같/VA|아요/EFN|./SF"
"구독결제했는데 구독확인이안되서 안됨.","구독/NNG|결제/NNG|하/XSV|었/EPT|는데/ECD|구독/NNG|확인/NNG|이/JKS|안/MAG|되/VV|어/ECS|스/VV|어/ECS|안/MAG|되/VV|./SF"
"영상 콘텐츠의 사용자 입장에 플레이어 기능 사용 편의성이 매우 중요한데 영상만 올리면 될걸로 보이나? 무료 플레이어도 기능이 겁나 좋은데 디즈니 플레이어는 자막 선택 말고는 없음. 개허접 쓰레기 임.","영상/NNG|콘텐츠/NNG|의/JKG|사용자/NNG|입장/NNG|에/JKM|플레이어/NNG|기능/NNG|사용/NNG|편의성/NNG|이/JKS|매우/MAG|중요/NNG|하/XSV|ㄴ/ETD|데/NNB|영상/NNG|만/JX|오르/VV|면/ECE|되/VV|ㄹ/ETD|것/NNB|으로/JKM|보/VV|나/ECE|?/SF|무료/NNG|플레이어/NNG|도/JX|기능/NNG|이/JKS|겁/NNG|나/VV|아/ECS|좋/VA|은데/ECD|디즈니/NNG|플레이어/NNG|는/JX|자막/NNG|선택/NNG|말/VV|고는/ECE|없/VA|음/ETN|./SF|개/NNM|허/NNG|접/NNM|쓰레기/NNG|임/NNG|./SF"
"무한 로딩 되면서 실행이 안됨 쓰레기 같은 앱.","무한/NNG|로딩/NNG|되/VV|면서/ECE|실행/NNG|이/JKS|안/MAG|되/VV|쓰레기/NNG|같/VA|은/ETD|앱/NNG|./SF"
"여러가지로 사용하기 힘드네요 불편한점도 많고.","여러/MDT|가지/NNB|로/JKM|사용/NNG|하/XSV|기/ETN|힘들/VA|네요/EFN|불편/NNG|하/XSV|ㄴ/ETD|점/NNG|도/JX|많/VA|고/ECE|./SF"
"앱이 좀 느려서 별4개.","앱/NNG|이/JKS|좀/MAG|느리/VA|어서/ECD|별/NNG|4/NR|개/NNM|./SF"
"이걸 지금 쓰라고 만든건가.","이것/NP|을/JKO|지금/MAG|쓰/VV|라/ECD|고/NNG|만들/VV|ㄴ/ETD|것/NNB|이/VCP|ㄴ가/EFQ|./SF"
"갤럭시 Z플립 앱이 안 열리고 무한 로딩 되는데 어떻게 해야하나요?","갤럭시/NNG|Z/OL|플립/NNG|앱/NNG|이/JKS|안/MAG|열/VV|고/ECE|무한/NNG|로딩/NNG|되/VV|는데/ECD|어떻/VA|게/ECD|하/VV|어야/ECD|하/VV|나요/EFQ|?/SF"
"작품 이름 모르면 찾아보기 힘듦. IP가 많으니 여러작품들을 좀더 찾기쉬운 UI로 새단장이 필요해보임.","작품/NNG|이름/NNG|모르/VV|면/ECE|찾/VV|기/ETN|힘들/VA|ㅁ/ETN|./SF|IP/OL|가/JKS|많/VA|으니/ECD|여러/MDT|작품/NNG|들/XSN|을/JKO|좀더/MAG|찾/VV|기/ETN|쉽/VA|ㄴ/ETD|UI/OL|로/JKM|새/NNG|단장/NNG|이/JKS|필요/NNG|하/XSV|어/ECS|보/VV|ㅁ/ETN|./SF"
"디즈니의 꿈. 100000.","디즈니/NNG|의/JKG|꿈/NNG|./SF|100000/NR|./SF"
"좀 업그레이드 시켜주세요.","좀/MAG|업그레이드/NNG|시키/VV|어/ECS|주/VXV|세요/EFN|./SF"
"다시봐도 잼있는 영화.","다시/MAG|보/VV|아도/ECD|잼/NNG|있/VV|는/ETD|영화/NNG|./SF"
"아주 만족합니다.","아주/MAG|만족/NNG|하/XSV|ㅂ니다/EFN|./SF"
"앱이 너무 느리고 PLAY 하려고하면 폰이 멈추네요.","앱/NNG|이/JKS|너무/MAG|느리/VA|고/ECE|PLAY/OL|하/VV|려고/ECD|하/VV|스마트폰/NNG|이/JKS|멈추/VV|네요/EFN|./SF"
"스타워즈도 제때 서비스 안하는 배짱장사 쓰레기 OTT.","스타워즈/NNG|도/JX|제때/NNG|서비스/NNG|안/MAG|하/XSV|는/ETD|배짱/NNG|장사/NNG|쓰레기/NNG|OTT/OL|./SF"
"진짜 잘보이게 하려고 별점 5개줬고요 아니 삼성탭은 왜 로당만 뜨고 안들어가지죠?","진짜/MAG|잘/MAG|보/VV|게/ECD|하/VV|려고/ECD|별점/NNG|5/NR|개/NNM|주/VV|었/EPT|고요/EFN|아니/IC|삼성/NNG|탭/NNG|은/JX|왜/MAG|로/JKM|당/NNG|만/JX|뜨/VV|고/ECE|안/MAG|듣/VV|어/ECD|가지/VXV|죠/EFN|?/SF"
"실행이 안됩니다 계속 로딩 표시만 나오네요 기종은 갤럭시 탭 S7플러스입니다.","실행/NNG|이/JKS|안/MAG|되/VV|ㅂ니다/EFN|계속/NNG|로딩/NNG|표시/NNG|만/JX|나오/VV|네요/EFN|기종/NNG|은/JX|갤럭시/NNG|탭/NNG|S/OL|7/NR|플러스/NNG|이/VCP|ㅂ니다/EFN|./SF"
"안들어가짐 로딩 오짐 이걸 쓰라고 만든건가? 아니 들어가서 보고 싶어도 못본다고요.","안/MAG|듣/VV|어/ECD|가/JKS|짐/NNG|로딩/NNG|오/NNG|짐/NNG|이것/NP|을/JKO|쓰/VV|라/ECD|고/NNG|만들/VV|ㄴ/ETD|것/NNB|이/VCP|ㄴ가/EFQ|?/SF|아/VV|니/ECD|들어가/VV|서/ECD|보/VV|고/ECE|싶/VXA|어도/ECD|못/MAG|보/VV|ㄴ다고요/EFN|./SF"
"안열려요. 제거하고 다시설치해도 계속안열려요.","안/MAG|열/VV|어요/EFN|./SF|제거/NNG|하/XSV|고/ECE|다시/MAG|설치/NNG|하/XSV|어도/ECD|계속/MAG|안/MAG|열/VV|어요/EFN|./SF"
"내용을 보고 가입여부를 결정해야하는데 창을열면 가입화면외에는 안나오네요.그냥 탈퇴.","내용/NNG|을/JKO|보/VV|고/ECE|가입/NNG|여부/NNG|를/JKO|결정/NNG|하/XSV|어야/ECD|하/VV|는데/ECD|창/NNG|을/JKO|열/VV|면/ECE|가입/NNG|화면/NNG|외/NNB|에/JKM|는/JX|안/MAG|나오/VV|네요/EFN|./SF|그냥/MAG|탈퇴/NNG|./SF"
"한달 결제를 일년결제로 잘못해서 디즈니플러스에 환불요청하니 구글에서 결제한거라 구글로만 환불된다고 하고 구글은 기간이 지나서 디플에서만 환불된다고 하고 양쪽다 서로미루고 환불도 안해주네요 소보원에 신고들어가겠습니다.","한/MDN|달/NNG|결제/NNG|를/JKO|일/NR|년/NNM|결제/NNG|로/JKM|잘못하/VV|어서/ECD|디즈니플러스/NNG|에/JKM|환불/NNG|요청/NNG|하/XSV|니/ECD|구글/NNG|에서/JKM|결제/NNG|하/XSV|ㄴ/ETD|거/NNB|이/VCP|라/EFN|구글/NNG|로/JKM|만/JX|환불/NNG|되/XSV|ㄴ다고/ECE|하/VV|고/ECE|구글/NNG|은/JX|기간/NNG|이/JKS|지나/VV|서/ECD|디플에서/UN|만/JX|환불/NNG|되/XSV|ㄴ다고/ECE|하/VV|고/ECE|양쪽/NNG|다/MAG|서로/MAG|미루/VV|고/ECE|환불/NNG|도/JX|안/MAG|하/VV|어/ECS|주/VXV|네요/EFN|소보원/NNG|에/JKM|신고/NNG|들어가/VV|겠/EPT|습니다/EFN|./SF"
"어플실행이 안되네요 SM T720 갤럭시탭에 설치는 되는데 실행이 안되는 이유가 뭘까요?","어플실행/UN|이/JKS|안/MAG|되/VV|네요/EFN|SM/OL|T/OL|화질/NNG|갤럭시/NNG|탭/NNG|에/JKM|설치/NNG|는/JX|되/VV|는데/ECD|실행/NNG|이/JKS|안/MAG|되/VV|는/ETD|이유/NNG|가/JKS|무엇/NNG|을/JKO|까/VV|아요/EFN|?/SF"
"제가 볼때 음란합니다.","제가/NNG|보/VV|ㄹ/ETD|때/NNG|음란/NNG|하/XSV|ㅂ니다/EFN|./SF"
"평가도 안좋은데 돈내고 시청하라니 황당하네요.","평가/NNG|도/JX|안/MAG|좋/VA|은데/ECD|돈/NNG|내/VV|시청/NNG|하/XSV|라/ECD|니/NP|황/NNG|당하/XSV|네요/EFN|./SF"
"서비스 되는 영화 드라마등 다양하지 않아서 장기 구독은 좀 꺼려집니다.","서비스/NNG|되/VV|는/ETD|영화/NNG|드라마/NNG|등/NNB|다양/NNG|하/XSV|지/ECD|안/MAG|아서/ECD|장기/NNG|구독/NNG|은/JX|좀/MAG|꺼리/VV|어/ECS|지/VXV|ㅂ니다/EFN|./SF"
"너무 컨텐츠가 없음.","너무/MAG|컨텐츠/NNG|가/JKS|없/VA|음/ETN|./SF"
"왜 보고있는데 끊겨.","왜/MAG|보/VV|고/ECE|있/VXV|는데/ECD|끊기/VV|어/ECS|./SF"
"디즈니 이새끼들 별점조작하네 리뷰 10중 9할이 2점이하 리뷴데 어떻게 4점대노?","디즈니/NNG|이/MDT|새끼/NNG|들/XSN|별점/NNG|조/NNG|작하/NNG|네/XSN|리/NNB|뷰/NNG|10/NR|중/NNB|9/NR|할/NNM|이/JKS|2/NR|점/NNM|이하/NNG|리/NNG|뷴/UN|데/NNG|어떻/VA|게/ECD|4/NR|점/NNM|대/NNG|노/NNG|?/SF"
"어플이 안열려요 어떻게 보라는겁니까.","앱/NNG|이/JKS|안/MAG|열/VV|려요/ECD|어떻/VA|게/ECD|보/VV|라는/ETD|것/NNB|이/VCP|ㅂ니까/EFQ|./SF"
"랙에 걸린 듯 로딩에사 넘어가지 않아 모바일에서 실행이 안되면 어찌해야하나요?","랙/NNG|에/JKM|걸리/VV|ㄴ/ETD|듯/NNB|로딩/NNG|에/JKM|사/VV|아/ECS|넘/VV|지/ECD|안/MAG|아/ECD|스마트폰/NNG|에서/JKM|실행/NNG|이/JKS|안/MAG|되/VV|면/ECE|어찌하/VV|어야/ECD|하/VV|나요/EFQ|?/SF"
